index,text,label,dataset,split,document_length,unique_words,token_count
655,"Simultaneous transesophageal atrial pacing and transesophageal two-dimensional echocardiography: a new method of stress echocardiography   The diagnostic use of exercise echocardiography has been widely reported.  However, transthoracic exercise echocardiography is inadequate in up to 20% of patients because of poor image quality related to exercise.  In an attempt to overcome these limitations, a system was developed in which transesophageal echocardiography is combined with simultaneous transesophageal atrial pacing by means of the same probe.  In a prospective study, transesophageal echocardiography was performed before, during and immediately after maximal atrial pacing in 50 patients with suspected coronary artery disease.  Results of transesophageal stress echocardiography were considered abnormal when new pacing-induced regional wall motion abnormalities were observed.  Correlative routine bicycle exercise testing was carried out in 44 patients.  Cardiac catheterization was performed in all patients.  The success rate in obtaining high quality diagnostic images was 100% by transesophageal echocardiography.  All nine patients without angiographic evidence of coronary artery disease had a normal result on the transesophageal stress echocardiogram (100% specificity).  Thirty-eight of 41 patients with coronary artery disease (defined as greater than or equal to 50% luminal diameter narrowing of at least one major vessel) had an abnormal result on the transesophageal stress echocardiogram (93% sensitivity).  The sensitivity of the technique for one, two or three vessel disease was 85%, 100% and 100%, respectively, compared with 44%, 50% and 83%, respectively, for bicycle exercise testing; the 12 lead electrocardiogram (ECG) during rapid atrial pacing showed a sensitivity of 25%, 64% and 86%, respectively.  Thus, rapid atrial pacing combined with simultaneous transesophageal echocardiography is a highly specific and sensitive technique for the detection of coronary artery disease.  Ischemia-induced wall motion abnormalities were detected earlier than observed ECG changes.  The technique appears to be particularly suited to patients who are unable to perform an active stress test or those with poor quality transthoracic echocardiograms.",13,Ohsumed,train,306,155,480
862,"Anti-GM1 IgM antibodies in motor neuron disease and neuropathy.  We found anti-GM1 IgM antibodies in 23% of 56 patients with motor neuron disease (MND), in 19% of 69 patients with neuropathy, and in 7% of 107 controls with other neurologic and nonneurologic diseases.  Most of these patients had anti-GM1 IgM antibody titers of 1:80 or less; slightly higher antibody titers (up to 1:640) were found in 3 patients, 1 with MND and 2 with neuropathy, and very high titers (1:20,480) in a patient with MND and an IgM kappa M protein that reacted with GM1, GD1b, and asialo GM1.  Six other patients with anti-GM1 IgM that also bound to GD1b.  Reactivity with GD1b did not correlate with anti-GM1 titers but was only present in patients with MND or neuropathy.  Anti-GM1 IgM antibodies may be a normal constituent of the human antibody repertoire but their frequency and, in some cases, their levels are higher in patients with MND and neuropathy.  The origin and the pathogenetic role of these antibodies in neural impairment remain to be established.",9,Ohsumed,train,175,83,276
365,"A comparison of hospital costs and morbidity between octogenarians and other patients undergoing general surgical operations.  The hospital costs and clinical results of 304 patients who were more than 80 years old and who underwent general surgical procedures were evaluated.  The over-all mortality rate was 14 per cent; 19.9 per cent occurred in patients admitted under emergency conditions as compared with 8.9 per cent that occurred in patients undergoing elective procedures (p less than 0.001).  Seventy-nine per cent of the patients were discharged and 7 per cent required care in a skilled nursing facility.  Survival rates were as good or better than standard life table survival rates for 80 year old patients.  Costs were higher in those who were admitted under emergent conditions or who died in the hospital.  Deaths were a result of complications of the primary disease rather than associated disease in most groups.  Neither costs nor length of stay could accurately predict survival of individual patients.  We concluded that health resources should be directed at treating problems, such as cholelithiasis, hernia or carcinoma, early before complications develop.",22,Ohsumed,train,176,106,220
2423,"Proliferation and substrate effects on endothelial cell thrombogenicity.  The effects of the cellular differentiation status and the adhesive-substrate on endothelial cell function in cell culture were measured with an enzyme based assay of surface thrombogenicity.  A solid plastic, microporous polymeric, and fibronectin (FN) treated microporous polymeric were used as substrates for growth of endothelial cells.  The microporous and FN treated synthetic substrates have been shown to aid in the induction of cellular differentiation mechanisms.  Cells were studied under proliferative and nonproliferative growth conditions.  The thrombogenicity of the surface created by the endothelial cell monolayers under various experimental conditions was determined using an enzyme based assay of fibrin deposition.  Actively proliferating cells on the solid plastic substrate produced the most thrombogenic surface, while confluent endothelial cell monolayers grown on FN treated microporous substrate were the least thrombogenic surfaces.  These data suggest that endothelial cell surface thrombogenicity is under substrate control, and also related to the cellular differentiation status.  These findings are being used to design a novel approach to the small diameter synthetic vascular graft problem.",22,Ohsumed,train,174,90,264
1514,"Comparison of SPECT using technetium-99m agents and thallium-201 and PET for the assessment of myocardial perfusion and viability.  This report reviews the applications of tomographic imaging with current and new tracers in assessing myocardial perfusion and viability.  Multiple studies with thallium-201 (TI-201) single photon emission computed tomography (SPECT) imaging for the detection of coronary artery disease (CAD) have demonstrated high sensitivity, high rates of normalcy and high reproducibility.  In assessing viability, fixed defects are frequently detected in viable zones in 4-hour studies with TI-201 imaging.  Redistribution imaging performed 18 to 72 hours after injection or reinjection of TI-201 before 4-hour redistribution imaging has been shown to improve accuracy of viability assessment.  TI-201 SPECT studies are limited by the suboptimal physical properties of TI-201, which result in variable image quality.  The 2 new technetium-99m (Tc-99m) - labeled myocardial perfusion tracers offer the ability to inject much higher amounts of radioactivity, making it possible to assess ventricular function as well as myocardial perfusion from the same injection of radiotracer.  Tc-99m sestamibi has very slow myocardial clearance, which allows for prolonged imaging time and results in image quality superior to that obtained with TI-201 and Tc-99m teboroxime.  The combination of minimal redistribution of Tc-99m sestamibi and high count rates makes gated SPECT imaging feasible, and also permits assessment of patients with acute ischemic syndromes by uncoupling the time of injection from the time of imaging.  The combination of high image quality and first-pass exercise capabilities may lead to a choice of this agent over TI-201 for assessment of chronic CAD.",13,Ohsumed,train,270,138,392
361,"Noninvasive assessment of cardiac output in children using impedance cardiography.  This study evaluated the effect of intracardiac shunting on the accuracy of thoracic bioimpedance-derived cardiac output determinations.  Twenty-six patients, ranging in age from 3 months to 17 years, underwent cardiac catheterization during which simultaneous Fick and impedance measurements of cardiac output were obtained.  The subjects were divided into three groups: 10 children with no intracardiac shunts, nine children with predominant left-to-right intracardiac shunts, and seven children with predominant right-to-left intracardiac shunts.  Positive correlations between impedance and Fick-derived cardiac output determinations were obtained in the non-shunt group (r = 0.84), with lower correlations in the left-to-right shunt group (r = 0.70).  In the right-to-left shunt group, the impedance derived cardiac output correlated with Fick pulmonary flow (r = 0.82), but the variability was unacceptably large.  Although further study is needed, impedance cardiography appears to have validity as a methodology in pediatric critical care and cardiovascular health research.",13,Ohsumed,validation,160,90,253
158,"Interventional radiology of the biliary tract. Intraductal radiation.  One palliative method of treating patients with a high duct cholangiocarcinoma is the use of 192Ir wire.  This is placed through the tumor, which has been previously intubated, and delivers a high local dose of radiation.  The mean survival time in 30 patients treated with intraductal radiation was 16.8 months, an improvement compared to surgical bypass or endoscopic and radiologic drainage procedures.",3,Ohsumed,validation,68,54,105
481,"Evaluation of the manual hexadimethrine bromide (Polybrene) technique in the investigation of autoimmune hemolytic anemia.  The use of the direct manual hexadimethrine bromide (Polybrene) test (DPT) in the investigation of patients for autoimmune hemolytic anemia (AIHA) was evaluated.  Seventy-nine blood samples from 68 patients were tested.  A direct antiglobulin test (DAT) using monospecific reagents and the DPT were performed, and a concentrated ether eluate was tested.  The DAT was positive in 62 (78%) of 79 patients and negative in 17 (22%).  There is a good correlation among DAT, eluate, and DPT in demonstrating the presence of immunoglobulin on the red cell surface.  In contrast, the DPT does not detect C3d and is often negative in cases of AIHA in which C3d alone is demonstrated by the DAT.  In DAT-negative cases, DPT results correlated with reactive eluates.  However, in four cases of steroid-responsive, DAT-negative hemolytic anemia, the DPT supported the diagnosis of AIHA when the eluate did not react.  The DPT is a useful additional screening test for the investigation of AIHA, but it is not recommended as a replacement for either eluate testing or the DAT.",14,Ohsumed,validation,185,95,293
639,"Profile of bronchospastic disease in Puerto Rican patients in New York City. A possible relationship to alpha 1-antitrypsin variants.  A high prevalence of asthmalike symptoms was noted among patients of Puerto Rican descent attending Beth Israel and North Central Bronx Medical Centers in New York City, as compared with other ethnic groups.  An evaluation of family and medical histories, pulmonary function data, and alpha 1-antitrypsin phenotypes was undertaken in such Puerto Rican patients and control subjects without asthma.  The patients showed a higher proportion of MS and MV phenotypes.  All the patients in both MM and variant phenotype groups, with the exception of four MM patients, had features indicative of asthma, with labile airway obstruction, and elevated serum immunoglobulin E and eosinophil levels.  The latter was significantly higher in the patients with variant phenotypes than in MM patients.  Patients with alpha 1-antitrypsin variants also had much shorter smoking histories as compared with the MM group, and all reported histories of asthma in first-degree relatives, as compared with 66% among the MM patients.  We conclude that there is an increased incidence of asthma among Puerto Ricans in New York City, and that the antitrypsin variant phenotypes (specifically S and V) play a role in this incidence and its expression.",19,Ohsumed,validation,202,105,283
275,"Comparison of aerosolized glycopyrrolate and metaproterenol in acute asthma.  The efficacy of nebulized glycopyrrolate compared with metaproterenol was evaluated in 46 patients with acute asthma.  In a double-blinded, randomized fashion, patients received, as sole therapy, either 2 mg of glycopyrrolate or 15 mg of metaproterenol every 2 h over a 6-h study period.  Of the 35 patients completing the study, analysis of variance demonstrated no difference in percentage of change in FEV1 between glycopyrrolate and metaproterenol.  Two hours after the initial dose, there was a 30 percent increase in FEV1 for glycopyrrolate compared with a 25 percent increase for metaproterenol (p greater than 0.05, NS).  In contrast to the comparable bronchodilator activity, the side effects profile of the two agents were markedly dissimilar.  Not only were subjective complaints of tremor, palpitations, and paresthesias increased for metaproterenol, but the heart rate response was significantly elevated (p less than 0.05) compared with glycopyrrolate.  Based on these data, administration of the aerosolized anticholinergic agent, glycopyrrolate, is a reasonable therapeutic alternative for acute asthma.",19,Ohsumed,validation,160,98,290
